url,name,why_visit,description,branch,product_categories,gallery,documents,website,email,phone,address,stand
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.aatcc.org-5b299cc2-e046-47e1-b6af-a789ec733934.html,AATCC,"Learn about AATCC standards, experts, educational programs, and other resources can support your business and sustainability goals. Join at the show for a discounted membership rate!","The American Association of Textile Chemists and Colorists (AATCC) connects the global textile community to empower an innovative, informed, and sustainable future. Headquartered in North Carolina, USA, AATCC has provided standards development, testing materials, educational resources, and professional networking to the global textile industry for more than a century. AATCC standards are developed with input from individual and corporate stakeholders. They are recognized worldwide for enabling commerce and ensuring quality in fibers, dyes, textiles, and related materials.",AthleisureBagsBike & RunningCorporate WearFashionFitness & IndoorFootwearHealth/MedicalOutdoor SportsTeam SportsWinter SportsWorkwearOther,Fibres / Yarns / InsulationFinishes / Treatments,"[{'title': 'AATCC Quality Control Products', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-bdae50ef-b525-439d-b744-635529268cb3.aatcc%20quality%20control%20products.pro-35303cf1-09be-4b02-b226-614aa3a8c7ee.html'}, {'title': 'Test Requests & Interpretation Simplified', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-bdae50ef-b525-439d-b744-635529268cb3.test%20requests%20%20interpretation%20simplified.pro-0fb87815-20d1-4381-b137-4eb877c0be91.html'}]","[{'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-bdae50ef-b525-439d-b744-635529268cb3/63b94117-8b2a-4871-befc-eba988591bf3.pdf'}, {'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-bdae50ef-b525-439d-b744-635529268cb3/97ef0d31-56a5-4054-849c-4909a0f3e630.pdf'}, {'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-bdae50ef-b525-439d-b744-635529268cb3/32e7accd-5058-432f-9a4d-d4fec8228c7a.pdf'}]","{'text': 'https://www.aatcc.org/', 'url': 'https://www.aatcc.org/'}","{'text': 'jayaramanb@aatcc.org', 'url': 'mailto:jayaramanb@aatcc.org'}",+1.919.549.8141,"1 Davis Drive
PO Box 12215
Research Triangle Park
North Carolina
27709-2215
United States",406
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.abacell.org-54000253-79d6-4915-9f97-6f8e4d2f2394.html,abacell,"Biodegradable Innovation, Sustainable Solution, Renewable Natural Resources Abacell is a new generation yarn of sustainability and a step towards a greener future.","Abacell is a revolutionary paper yarn. It is water-resistant, durable, lighter than cotton, high breathability, cool feeling, odor resistance and anti-bacterial. The properties are inherent from its raw material and specialized manufacturing technics. Abacell is made from Manila hemp, also known as ""Abaca"". Abaca is a species of banana, it is perennial and fibers can be harvested every 3 to 8 months after an initial growth of 2 - 3 years. Abaca requires no fertilizers and pesticides, thriving on rainwater and surrounding nutrients, also contribute to soil and water conservation.",AthleisureFashionOther,Fibres / Yarns / Insulation,"[{'title': 'AB09RS', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-f41e7d31-f6ff-45f6-83f9-9de57a6e47d1.ab09rs.pro-c7b8bf8b-4eba-48c7-9b44-bd747c89f5f0.html'}, {'title': 'FB17RS', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-f41e7d31-f6ff-45f6-83f9-9de57a6e47d1.fb17rs.pro-02537bd4-8ab0-4fda-b55c-ca777b81294f.html'}, {'title': 'FE1801', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-f41e7d31-f6ff-45f6-83f9-9de57a6e47d1.fe1801.pro-0279668f-f91c-42a5-a774-e6bc1e36098d.html'}]","[{'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-f41e7d31-f6ff-45f6-83f9-9de57a6e47d1/168795ef-4a15-4e7c-a63c-9be4d38fecc1.pdf'}]","{'text': '', 'url': ''}","{'text': 'info@abacell.co', 'url': 'mailto:info@abacell.co'}",886-2-22981466,"3F., No. 14, Wuquan 7th Rd., Wugu Dist
New Taipei City
24890
Taiwan",308
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.active apparel group.org-a619748e-9e2b-4f77-bc9c-01b8563b4610.html,Active Apparel Group,"We are a leader in performance apparel manufacturing focusing on innovation, sourcing & sustainability. Come meet our global team, see our world class product & experience the AAG quality in person.","For over 35 years, Active Apparel Group has been a leader in the performance apparel industry. We specialize in the production of activewear, swimwear and ready to wear garments using cutting edge technology including, but not limited to, in-house bonding, laser cutting and eco printing. We are a global team based in Brisbane, LA, NY, Milan and China. We are passionate about our product, stand firm behind our quality, and strive to remain at the forefront of innovation and sustainability.",AthleisureBike & RunningCorporate WearFashionFitness & IndoorOutdoor SportsTeam SportsWinter SportsWorkwear,BagsGarmentsKnit Fabrics,"[{'title': 'AAG Brochure', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-e9526189-808b-42bb-96ed-725da7694290.aag%20brochure.pro-116f7afe-abb4-49a7-835a-e0b9f623ab65.html'}]","[{'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-e9526189-808b-42bb-96ed-725da7694290/88747bb7-2384-46d4-9dab-1f400001dcc1.pdf'}]","{'text': '', 'url': ''}","{'text': 'info@activeapparelgroup.com', 'url': 'mailto:info@activeapparelgroup.com'}",+19172097711,"9530 Jefferson Blvd.
Culver City
California
90232
United States",207
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.aesthetictex inc.org-bea97993-1af4-4279-aba8-2f62038cc0ac.html,"Aesthetictex, Inc.","Sports life, Life sports, sports is life aesthetics! Aesthetictex pursue to create lovely sports textile. Join us together to promote sports aesthetics!","Aesthetictex fuses fashion elements and functions be one combination on textile, including knit, woven, bonding, lamination and any finishings, provides great quality and satisfied service to clients, not only supply functional textiles but also help deal with technical points on fabric developments. Aesthetictex is expert to catch what clients want and execute ideas be a physical commodity. Check out Aesthetictex's fabrics, you will be in love with them!",Athleisure,FleeceKnit FabricsWoven Fabrics,"[{'title': 'SBK22560V1 melange stretch jacquard', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk22560v1%20melange%20stretch%20jacquard.pro-a163dc75-0c10-421b-8056-6a21fce29913.html'}, {'title': 'SBK33182E1 Thermally stretch terry', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk33182e1%20thermally%20stretch%20terry.pro-3f2120ce-75a4-479a-aac8-c123bdf3d5c0.html'}, {'title': 'SBK21460 soft stretch diamond jacquard', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk21460%20soft%20stretch%20diamond%20jacquard.pro-0ce87ec6-2385-493c-89fd-1afa236733ea.html'}, {'title': 'LEK91329 Eco Thermally stretch jersey', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.lek91329%20eco%20thermally%20stretch%20jersey.pro-b5d2505a-fe04-44ec-a3dc-56fe3ac732b7.html'}, {'title': 'LEK91351E4 Hypercozy plaid stretch jacquard', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.lek91351e4%20hypercozy%20plaid%20stretch%20jacquard.pro-cc1566a9-8983-4ab5-95e5-336ae0cf0ac9.html'}, {'title': 'SBK21325C3 Hypercozy collagen soft stretch jersey', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk21325c3%20hypercozy%20collagen%20soft%20stretch%20jersey.pro-96edce85-72b5-463c-81b4-59cb2c6f140d.html'}, {'title': 'SBK11546 soft melange stripes double knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk11546%20soft%20melange%20stripes%20double%20knit.pro-2fb264f7-3f71-4d6d-9d93-95e5b8057fc3.html'}, {'title': 'SBK22489 PhilQul soft stretch pique jersey', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk22489%20philqul%20soft%20stretch%20pique%20jersey.pro-88d4cc36-5f26-4da4-ba19-8c0df5f75688.html'}, {'title': 'SBK22330B soft stretch jacquard knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk22330b%20soft%20stretch%20jacquard%20knit.pro-83b7aba9-f15c-4077-a797-94c5afb5809a.html'}, {'title': 'SBK11545C soft diamond grid triple layer knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk11545c%20soft%20diamond%20grid%20triple%20layer%20knit.pro-7fdecd0d-5011-4666-ba9b-fcd3f6c8ab76.html'}, {'title': 'SBK22494 Hypercozy stretch floral jacquard knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk22494%20hypercozy%20stretch%20floral%20jacquard%20knit.pro-39f4414c-c1b5-4d3c-be18-0f702bfbe26b.html'}, {'title': 'SBK21461 soft stretch melange pique knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk21461%20soft%20stretch%20melange%20pique%20knit.pro-def36e4f-85f7-4073-856c-b1937ef15ecd.html'}, {'title': 'LEK91306C4 triple layer jacquard knit', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.lek91306c4%20triple%20layer%20jacquard%20knit.pro-ea98d29b-7b9f-4da7-a4b2-54dd876485e7.html'}, {'title': 'SBK33171 Thermally stretch irregular Rib', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk33171%20thermally%20stretch%20irregular%20rib.pro-af56182e-30f7-4b7e-9368-846075e7d7a1.html'}, {'title': 'SBK11590 MUT pique jersey', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-86eeda1a-7494-4196-90a5-97af33820b82.sbk11590%20mut%20pique%20jersey.pro-4d849662-5364-403a-b0b8-54cac857f5c9.html'}]",[],"{'text': '', 'url': ''}","{'text': 'vanessalu@aesthetictex.com', 'url': 'mailto:vanessalu@aesthetictex.com'}",886326 8986,"10th Floor, No. 200, Xingfu Road, Taoyuan District
Taoyuan City
330
Taiwan",209
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.agt international co ltd.org-ef18a18b-aa52-43ae-8014-2593376c5d60.html,"AGT International Co., Ltd.","AGT is a reliable and professional manufacturer of High tension, High density and Light weight performance knitted fabric with quick response and quality assurance.","AGT is one of the leading performance knitted fabric suppliers in Taiwan. We provide customized service for the client's requests to develop high-quality stretch fabrics with high tension high density and lightweight. Our marketing strategy is focused on the brand of high-quality women's sportswearin North America/Europe/Australia and the products including yoga fabric, workout fabric, breathable stretch fabric, moisture-wicking fabric, UV protection fabric, all kinds of performance fabric, eco-friendly polyester knitted fabric, and special customized fabric...etc.",Athleisure,FleeceKnit Fabrics,[],"[{'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-037c1b3c-5f8b-4317-8345-78870abfb897/a6d1d21c-b122-4fee-82a2-04405daec7b4.pdf'}, {'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-037c1b3c-5f8b-4317-8345-78870abfb897/50b18123-e308-48c2-a7b7-4074d33aa4f6.pdf'}]","{'text': '', 'url': ''}","{'text': 'agt@agtex.com.tw', 'url': 'mailto:agt@agtex.com.tw'}",+886227332996,"5F No 149-16
Sec 2
Taipei
11054
Taiwan",316
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.allmore group.org-683026af-935d-4815-ae9b-4f86915fdf46.html,ALLMORE GROUP,Allmore Group is the exclusive representative for ECLAT TEXTILES. We have a stock program of performance knits shipping from Los Angeles and can ship direct from Taiwan.,Allmore Group is the exclusive representative for ECLAT TEXTILES. We have a stock program of performance knits shipping from Los Angeles and can ship direct from Taiwan.,Athleisure,Knit Fabrics,"[{'title': 'Eclat Textiles RT 1204120', 'url': 'https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/product-list/product-details.exh-26c75160-96f1-4842-b9f2-a24fda79944e.eclat%20textiles%20rt%201204120.pro-674a2a25-a02c-4109-8735-623879c68e56.html'}]",[],"{'text': '', 'url': ''}","{'text': 'Jay@eclat-la.net', 'url': 'mailto:Jay@eclat-la.net'}",8186132385,"250 N. Puente Ave
City of Industry
California
91746
United States",254
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.amtr inc.org-f0c3ee0e-dbcd-41e9-829a-9cd23fe0db6f.html,"AMTR, Inc","If you are looking for high performance fabric, sustainable fabrics, some new unique materials, please stop by. You can do 1 stop shop at our booth!","We specialize in high-performance fabrics, such as down-proof, water-proof/repellent, light weight, 2, 2.5, 3 layers, water proof breathable, eco friendly, sustainable fabrics, new unique materials etc.",BagsBike & RunningCorporate WearFashionFitness & IndoorHealth/MedicalOutdoor SportsTeam SportsWinter SportsWorkwear,FleeceGarmentsKnit FabricsWoven Fabrics,[],[],"{'text': '', 'url': ''}","{'text': 'yoshi@amtr-usa.com', 'url': 'mailto:yoshi@amtr-usa.com'}",+13108088366,"3868 Carson St
301
Torrance
California
90503
United States",235
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.apex textile co ltd.org-5e60f087-087a-45a8-9354-e20268f6b368.html,"APEX TEXTILE CO., LTD.","Apex Textile provides vertical services from R&D, manufacturing to marketing. We focus on creating innovative products and offering excellent customer service.","As a textile manufacturer over 15 years, we are committed to maintaining good cooperative relation with global outdoor sports brands and providing the highest quality services. Also, we have recently set the goal of promoting green environmental protection and promoting the company's transformation into a new sustainable enterprise.",AthleisureBike & RunningFashionFitness & IndoorOutdoor SportsWinter SportsWorkwearOther,Finishes / TreatmentsWoven Fabrics,[],[],"{'text': '', 'url': ''}","{'text': 'emilyliao@apextex.co', 'url': 'mailto:emilyliao@apextex.co'}",+886287876618,"No.777 Lifa Avenue East, Hai’an Economic & Technological Development Area,
Nantong City,
Jiangsu Province
226601
China",437
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.apex textile co ltd.org-6fa1256d-9b59-49de-baea-32f7e437e74f.html,"Apex Textile Co., Ltd.",,,,,[],[],"{'text': '', 'url': ''}","{'text': 'inquiry@functionalfabricfair.com', 'url': 'mailto:inquiry@functionalfabricfair.com'}",,"No. 175, Ling Hao Road,
HangZhou Economic & Technological Development Area
Zhejiang
Zhejiang
310019
China",513
https://www.functionalfabricfair.com/new-york/en-us/For-Visitors/exhibitor-list/exhibitor-details.arch textiles manufacture corp.org-2761e687-0a10-4f50-a41c-bcd7741305d9.html,Arch Textiles Manufacture Corp.,Arch is committed to creating a better future through sustainable textile innovation. We produce the next generation of high-performance fabrics for a wide variety of users.,"At Arch we strategically invest in engineering technology to apply environmentally sound solutions to our yarn construction, dyeing, spinning, and knitting processes. We use our technology to reduce our carbon footprint, eliminate chemical usage, conserve water and energy. Our team has a deep understanding of fiber and yarns' structure and applies innovative engineering techniques to the construction of our fabrics. We strive to produce the highest quality of performance fabrics with a variety of applications; base-layer, mid-layer and insulation.",AthleisureBike & RunningFashionFitness & IndoorHealth/MedicalOutdoor SportsTeam SportsWinter SportsWorkwear,Fibres / Yarns / InsulationFinishes / TreatmentsFleeceKnit Fabrics,[],"[{'title': 'Download the PDF', 'url': 'https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-6329bf01-ca47-45fa-ae66-809793ef73c5/1c98437d-7ee4-475a-b516-45e6f44e9825.pdf'}]","{'text': '', 'url': ''}","{'text': 'info@archtextiles.com', 'url': 'mailto:info@archtextiles.com'}",212 7681888,"525 7th Avenue, Suite 1013
New York
New York
10018
United States",517
